epoch,train_loss,test_loss,accuracy
0,2.011155312018626,1.8532152198682166,0.3291
1,1.7568607313553695,1.6559461651334337,0.3954
2,1.5693105578117663,1.4945627914112845,0.4515
3,1.472476071256506,1.4305879272473085,0.4815
4,1.4168707618628011,1.3953515306399886,0.4841
5,1.3754122671111466,1.3316763540741745,0.5171
6,1.3345250408057971,1.3156936616654609,0.5199
7,1.306598973777288,1.2931423080954583,0.5292
8,1.2798745130638942,1.2641783592047964,0.5419
9,1.2552912167423522,1.2848538122359354,0.536
10,1.2349914963288076,1.2395593341748425,0.5522
11,1.213037628575664,1.220747278754119,0.561
12,1.1994013867109938,1.196723825232998,0.571
13,1.176631068939443,1.1984020152669044,0.5699
14,1.1606454296642557,1.1805538451595672,0.576
15,1.1450149075454459,1.1707105632800205,0.5832
16,1.1272789024940841,1.1556378747247587,0.5932
17,1.114503070064213,1.1710590435441133,0.5775
18,1.104831048061171,1.1481413283165853,0.5917
19,1.0893481167990837,1.1284085314744596,0.5947
