epoch,train_loss,test_loss,accuracy
0,2.2834108840427927,1.2165805875875388,0.6435
1,0.31063162865859867,0.16279001776010368,0.9494
2,0.1538605662231554,0.11824786807795998,0.9617
3,0.11963509107882311,0.09189720691187651,0.9717
4,0.1016021154236112,0.08138950843553824,0.9747
5,0.09337457367626112,0.08047003310416961,0.9747
6,0.08389022953506471,0.07727827721684696,0.9763
7,0.0783877027459812,0.06214247881078938,0.9806
8,0.07311347986746237,0.0703934328393287,0.9786
9,0.06836633450974192,0.070110667904744,0.9783
10,0.06258272510064122,0.07610900424254738,0.9749
11,0.061133637011218975,0.07215615281402163,0.9766
12,0.05951964154809481,0.059306397529876535,0.9807
13,0.05735207545143594,0.06051187382367362,0.9816
14,0.05427444908484471,0.06403887401791705,0.9784
15,0.05281716496240584,0.05695300645144526,0.9815
16,0.048492234380385066,0.06732507507894396,0.9807
17,0.04843958324034398,0.06502089331817819,0.9814
18,0.04576376590065843,0.06423754143160856,0.9816
19,0.04481473777087967,0.07033589179553447,0.9798
